Datum,NS - H (mnm),NS -Z (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - pH (-),NS - Ep. (µS/cm),NS - O2 (mg/l),NS - O2 (%),NS - HPK (mg/l),NS - NH4-N (mg/l),NS - NO2-N  (mg/l)
10/23/2012,73.72,199,2680,12,8.2,421,9.4,90,2.6,0.04,0.005
10/24/2012,73.61,188,2550,12.5,8.2,430,10.2,98,3,0.03,0.005
10/25/2012,73.48,175,2430,12.5,8.2,433,9.8,94,2.4,0.04,0.005
10/26/2012,73.35,162,2320,12.5,8.2,438,9.7,92,2.5,0.03,0.004
10/27/2012,73.26,153,2230,12.5,8.2,424,9.2,87,2.7,0.03,0.004
10/28/2012,73.15,142,2120,12.5,8.2,414,9.7,91,2.5,0.03,0.004
10/29/2012,73.05,132,2070,12,8.2,425,9.8,91,2.5,0.04,0.004
10/30/2012,72.99,126,2040,11,8.2,422,9.7,88,2.5,0.04,0.004
10/31/2012,73.03,130,2080,11,8.2,424,9.9,88,2.9,0.04,0.005
11/1/2012,73.3,157,2320,10,8.2,417,10.8,96,3,0.05,0.005
11/2/2012,73.51,178,2400,9.5,8.2,413,10.3,91,3,0.05,0.006
11/3/2012,73.59,186,2440,9,8.2,416,10.2,90,2.7,0.06,0.007
11/4/2012,73.57,184,2400,9.5,8.2,420,10.3,91,2.8,0.05,0.006
11/5/2012,73.58,185,2400,9,8.1,417,11,98,3.1,0.06,0.007
11/6/2012,73.61,188,2410,9.5,8.1,431,10.5,91,3.5,0.05,0.005
11/7/2012,73.65,192,2460,9,8.1,430,11.3,99,3,0.05,0.007
11/8/2012,73.74,201,2550,9,8.1,428,10.9,95,2.9,0.09,0.006
11/9/2012,73.95,222,2780,9,8.1,427,10.8,94,3.2,0.05,0.007
11/10/2012,74.31,258,3140,9,8,420,10.5,91,2.9,0.05,0.008
11/11/2012,74.68,295,3460,9,7.95,420,10.4,90,3.2,0.085,0.006
11/12/2012,74.87,314,3610,9,7.9,420,10.3,89,3.5,0.12,0.004
11/13/2012,74.91,318,3670,9,8.1,423,10.4,89,3.6,0.09,0.003
11/14/2012,74.85,312,3620,8.3,8.1,402,11,93,3.4,0.09,0.006
11/15/2012,74.75,302,3530,8.4,8.1,425,11.2,95,3.6,0.11,0.01
11/16/2012,74.64,291,3390,8,8.1,415,12,102,3.9,0.09,0.009
11/17/2012,74.55,282,3350,8,8.1,422,10.7,90,3.2,0.07,0.003
11/18/2012,74.51,278,3320,7.5,8,428,10.7,91,3.2,0.06,0.006
11/19/2012,74.43,270,3240,7,8.1,423,11,93,2.8,0.05,0.008
11/20/2012,74.29,256,3090,7.4,8.1,439,10.8,92,3.2,0.05,0.009
11/21/2012,74.14,241,2950,7.8,8.1,440,10.7,91,2.9,0.06,0.008
11/22/2012,73.97,224,2780,8,8.1,441,10.9,92,3.8,0.06,0.006
11/23/2012,73.8,207,2630,8,8.1,431,10.8,91,3.3,0.07,0.008
