Reka,Stanica,Datum,H (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - Ep. (µS/cm),NS - O2 (mg/l)
DUNAV,NOVI SAD,1/1/2024,540,5843.76,6.1,390,10.7
DUNAV,NOVI SAD,1/2/2024,558,6056.85,6.2,383,10.35
DUNAV,NOVI SAD,1/3/2024,575,6262.11,6.3,377,10.1
DUNAV,NOVI SAD,1/4/2024,579,6310.97,6.4,381,10.1
DUNAV,NOVI SAD,1/5/2024,575,6262.11,6.7,390,10.9
DUNAV,NOVI SAD,1/6/2024,568,6177.12,6.9,396,10.3
DUNAV,NOVI SAD,1/7/2024,554,6009.12,5.8,409,10.9
DUNAV,NOVI SAD,1/8/2024,543,5878.98,5.5,413,11.2
DUNAV,NOVI SAD,1/9/2024,529,5715.69,5.3,418,10.6
DUNAV,NOVI SAD,1/10/2024,521,5623.57,4.9,417,10.8
DUNAV,NOVI SAD,1/11/2024,517,5577.83,5,426,11.1
DUNAV,NOVI SAD,1/12/2024,516,5566.43,4.9,410,11.9
DUNAV,NOVI SAD,1/13/2024,515,5555.04,4.57,411,11.8
DUNAV,NOVI SAD,1/14/2024,515,5555.04,4.23,412,11.7
DUNAV,NOVI SAD,1/15/2024,514,5543.67,3.9,413,11.6
DUNAV,NOVI SAD,1/16/2024,507,5464.42,3,424,11.7
DUNAV,NOVI SAD,1/17/2024,495,5330.11,3.2,427,11.9
DUNAV,NOVI SAD,1/18/2024,477,5132.28,4.4,456,11.8
DUNAV,NOVI SAD,1/19/2024,452,4864.75,3.5,437,12
DUNAV,NOVI SAD,1/20/2024,426,4595.44,3.37,443,12.03
DUNAV,NOVI SAD,1/21/2024,400,4335.23,3.23,449,12.07
DUNAV,NOVI SAD,1/22/2024,374,4084.11,3.1,455,12.1
DUNAV,NOVI SAD,1/23/2024,366,4008.67,2.2,459,12.1
DUNAV,NOVI SAD,1/24/2024,363,3980.61,2.3,467,12.4
DUNAV,NOVI SAD,1/25/2024,359,3943.37,2.5,471,12.7
DUNAV,NOVI SAD,1/26/2024,350,3860.38,2.9,467,12.5
DUNAV,NOVI SAD,1/27/2024,351,3869.55,2.97,473.33,12.6
DUNAV,NOVI SAD,1/28/2024,352,3878.73,3.03,479.67,12.7
DUNAV,NOVI SAD,1/29/2024,353,3887.92,3.1,486,12.8
DUNAV,NOVI SAD,1/30/2024,366,4008.67,3,479,12.3
DUNAV,NOVI SAD,1/31/2024,379,4131.7,3.2,476,12.5
DUNAV,NOVI SAD,2/1/2024,388,4218.2,3.2,477,12.3
DUNAV,NOVI SAD,2/2/2024,393,4266.72,3.8,476,12.2
DUNAV,NOVI SAD,2/3/2024,386,4198.88,4.2,472.67,12.17
DUNAV,NOVI SAD,2/4/2024,379,4131.7,4.6,469.33,12.13
